报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业收入(万元),5312317,3009986,1949238,2208837,2023797,1594213,1366231,942978,649292,770439,780358,494633,
营业成本(万元),3203325,2074481,1361997,1526964,1358295,1038187,948866,704151,460677,529420,465170,317771,
营业利润(万元),1695930,565053,281501,414531,426091,361394,273052,167266,113909,165329,236081,129521,
利润总额(万元),1674974,565308,295445,416853,442568,356592,281495,193767,145000,202566,248221,131127,
所得税费用(万元),344042,110501,67489,95098,65990,54598,41954,21691,17028,26756,78535,35451,
净利润(万元),1330932,454807,227956,321755,376578,301994,239541,172075,127972,175810,169686,95675,
基本每股收益,4.09,1.7,0.74,1.12,1.34,1.09,0.86,0.92,0.64,0.91,0.89,0.52,
货币资金(万元),306297,198680,206636,102467,98892,137261,178886,89792,117743,127160,137012,22833,
应收账款(万元),283279,171487,121388,134158,106255,94836,61068,60821,32332,27303,33600,29359,
存货(万元),699963,433735,419385,300999,226500,199486,133788,116833,75563,60044,65086,46377,
流动资产合计(万元),2520021,1323580,1102659,975653,818933,836272,763795,480067,376099,383467,406228,177229,
固定资产净额(万元),2761033,2846794,2004629,1519471,858174,733147,690493,693047,317149,327079,316827,309780,
资产总计(万元),6582773,5076502,4780442,4159209,3114368,2254146,1741868,1294292,966118,786272,759437,523964,
流动负债合计(万元),2782009,2260141,1927327,1323399,1044137,822705,675698,372213,320085,198465,255259,148112,
非流动负债合计(万元),725351,982967,1370791,1507242,892136,447160,244608,206557,63521,42865,60331,85725,
负债合计(万元),3507361,3243108,3298118,2830641,1936272,1269865,920306,578770,383606,241331,315589,233837,
所有者权益(或股东权益)合计(万元),3075413,1833394,1482323,1328568,1178096,984281,821562,715522,582512,544941,443848,290128,
期初现金及现金等价物余额(万元),196285,206229,99463,98892,137261,177583,89532,34643,127160,137012,22833,19312,
经营活动产生的现金流量净额(万元),1021215,734884,460239,402051,386926,380618,201243,41336,145438,200020,128238,93235,
投资活动产生的现金流量净额(万元),-545992,-396958,-522461,-902583,-681647,-392244,-286979,-144270,-177224,-92592,-36684,-51913,
筹资活动产生的现金流量净额(万元),-365993,-350427,175628,500121,260746,-29233,175073,158683,-60953,-116403,23230,-37709,
现金及现金等价物净增加额(万元),108345,-9944,106766,571,-38368,-40322,88051,54889,-92518,-9852,114179,3521,
期末现金及现金等价物余额(万元),304630,196285,206229,99463,98892,137261,177583,89532,34643,127160,137012,22833,		
		
  
