报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),245639,184739,163104,106880,96538,78958,82009,73166,40487,63948,
营业收入(万元),245639,184739,163104,106880,96538,78958,82009,73166,40487,63948,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),203428,150329,135443,97103,83040,67361,69153,61963,33107,53651,
营业成本(万元),148322,109319,107208,76804,67081,52189,53118,49884,24916,44789,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),2929,1941,1389,956,745,650,756,562,413,458,
销售费用(万元),16195,12778,3819,2416,1634,1738,1834,1016,646,671,
管理费用(万元),32238,24852,25130,15998,12258,11698,10212,8091,4903,4773,
财务费用(万元),1877,-173,-5042,-583,776,-325,1570,1316,1483,2698,
资产减值损失(万元),1868,1612,2938,1512,546,1410,1663,1095,747,262,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),1142,1664,1705,208,111,164,185,162,53,298,
对联营企业和合营企业的投资收益(万元),-73,-253,1070,208,111,164,185,162,53,298,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),44114,36073,29366,9985,13609,11761,13041,11365,7433,10595,
营业外收入(万元),413,1088,597,1454,992,954,1058,77,45,63,
营业外支出(万元),149,337,178,270,92,32,59,48,2,35,
非流动资产处置损失(万元),--,263,176,268,80,31,59,37,0,16,
利润总额(万元),44378,36824,29785,11169,14509,12683,14040,11393,7475,10622,
所得税费用(万元),5846,4955,3993,1483,2156,1758,2016,1413,1135,1260,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),38532,31870,25792,9686,12354,10925,12024,9980,6340,9362,
归属于母公司所有者的净利润(万元),38528,31865,25785,9653,12394,10925,12024,9980,6340,9362,
被合并方在合并前实现净利润(万元),--,--,--,--,--,0,--,--,--,--,
少数股东损益(万元),4,4,7,33,-40,--,--,--,--,--,
基本每股收益,0.42,0.92,0.78,0.35,0.45,0.79,1.16,0.97,0.61,0.91,
稀释每股收益,0.42,0.92,0.78,0.35,0.45,0.79,1.16,0.97,0.61,0.91,
