报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),5983318,5841605,5458256,6147485,6630685,5568358,5055763,4077172,1944731,1644013,1746745,1453452,
营业收入(万元),5983318,5841605,5458256,6147485,6509728,5568358,5055763,4077172,1944731,1644013,1746745,1453452,
利息收入(万元),--,--,--,--,--,--,--,--,0,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,0,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,0,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,0,--,0,0,
其他业务收入(万元),--,--,--,--,120957,--,--,--,0,--,0,0,
营业总成本(万元),5904961,5148586,4547179,5271101,5709398,5108852,4876593,3901614,1809397,1660689,1502386,1284727,
营业成本(万元),4964101,4347318,3765413,4409073,4784867,4352120,4251045,3463065,1576023,1461007,1318258,1132457,
利息支出(万元),--,--,--,--,--,--,--,--,0,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,0,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,0,--,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,0,--,0,0,
退保金(万元),--,--,--,--,--,--,--,--,0,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,0,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,0,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,0,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,0,--,0,0,
其他业务成本(万元),--,--,--,--,73959,--,--,--,0,--,0,0,
营业税金及附加(万元),63296,70211,49436,51371,57516,42380,33179,23585,18694,16883,23185,18408,
销售费用(万元),3655,3264,3835,4295,6455,7951,10323,11834,9076,3109,2542,5033,
管理费用(万元),85643,76370,76862,88902,90713,80988,65200,52808,52047,50542,64779,52632,
财务费用(万元),654920,601945,590641,671755,611880,621916,501125,331204,142314,129683,87175,71072,
资产减值损失(万元),133346,49479,60991,45705,84008,3497,15721,19118,11244,-537,6446,5124,
公允价值变动收益(万元),-622,622,--,--,--,36,3,-86,-49,--,0,1903,
投资收益(万元),247568,171391,17161,236483,186619,288399,318550,170271,106554,22946,56721,43719,
对联营企业和合营企业的投资收益(万元),203952,165343,-5507,172691,180391,152718,157958,115202,79843,9058,49243,46800,
汇兑收益(万元),--,--,--,--,--,--,--,--,0,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,0,--,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,0,--,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,0,--,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,0,--,0,0,
营业利润(万元),357908,865032,928238,1112867,1107905,747941,497721,345743,241838,6270,301080,214348,
营业外收入(万元),39494,52690,56349,63725,42878,42240,32687,29963,8059,10838,15850,6193,
营业外支出(万元),18977,6825,8821,10418,40882,2432,7215,7516,4384,4101,4720,2529,
非流动资产处置损失(万元),--,3560,1247,4385,38766,397,784,863,366,102,642,1026,
利润总额(万元),378426,910898,975767,1166174,1109901,787748,523193,368190,245513,13008,312210,218011,
所得税费用(万元),102005,209049,261042,255041,188535,119274,73372,45537,33121,-8892,57789,33171,
未确认投资损失(万元),--,--,--,--,--,--,--,--,0,--,0,0,
净利润(万元),276420,701848,714724,911133,921366,668475,449822,322652,212392,21900,254420,184841,
归属于母公司所有者的净利润(万元),222324,472728,436351,607455,627916,505057,364737,240128,159495,17887,171072,119218,
被合并方在合并前实现净利润(万元),--,--,--,--,82412,--,--,--,0,--,9198,23414,
少数股东损益(万元),54096,229120,278373,303678,293450,163417,85085,82524,52897,4013,74150,42209,
基本每股收益,0.11,0.23,0.22,0.35,0.36,0.33,0.24,0.21,0.29,0.03,0.67,0.51,
稀释每股收益,0.11,0.23,0.22,0.34,0.35,0.3,0.24,0.21,0.29,0.03,0.67,0.48,
