 报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),248956,189264,167500,104814,98371,75988,83833,72781,37027,54144, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2236,2951,2273,1651,2861,1799,1519,1230,306,348, 
 收到的其他与经营活动有关的现金(万元),5308,2180,2090,2089,2240,1972,1528,450,305,451, 
 经营活动现金流入小计(万元),256500,194395,171863,108553,103472,79760,86880,74461,37638,54943, 
 购买商品、接受劳务支付的现金(万元),104676,108040,86898,61649,55787,47920,44256,43717,19731,34389, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),58460,45839,30249,20953,18804,16903,14454,8204,5716,6197, 
 支付的各项税费(万元),15853,12016,7736,5363,4443,4003,4785,2376,1250,5543, 
 支付的其他与经营活动有关的现金(万元),16283,13235,10319,6251,4624,4294,4477,4557,1470,2318, 
 经营活动现金流出小计(万元),195272,179130,135203,94215,83657,73119,67972,58854,28167,48447, 
 经营活动产生的现金流量净额(万元),61228,15265,36660,14338,19814,6641,18908,15607,9470,6496, 
 收回投资所收到的现金(万元),--,--,11,--,--,--,0,--,--,--, 
 取得投资收益所收到的现金(万元),1494,2152,771,103,86,97,108,96,156,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),50,51,133,67,29,24,95,20,--,145, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),129000,182526,50000,--,--,--,--,30,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
