报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),62728,49720,69607,23450,32185,42930,84757,4970,9964,4538,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,
应收票据(万元),15,--,--,--,--,--,--,70,--,--,
应收账款(万元),37345,30778,22287,18756,13956,12981,6933,5686,6381,2864,
预付款项(万元),1643,928,750,810,1181,1957,1417,847,686,339,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
应收利息(万元),0,19,13,13,61,412,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),2018,2250,581,557,659,346,615,347,185,150,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
存货(万元),69344,69708,39033,28990,28525,25647,22449,22779,19615,22364,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),36206,40249,51091,250,--,--,--,--,--,--,
流动资产合计(万元),209300,193652,183361,72827,76566,84273,116171,34700,36831,30255,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),1942,2273,2715,1087,976,957,877,809,724,814,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,243,
固定资产原值(万元),216562,175307,135828,92278,74503,53678,41426,35395,22190,20117,
累计折旧(万元),75493,60309,38397,29385,22400,16485,12159,8867,6811,5183,
固定资产净值(万元),141069,114999,97431,62893,52103,37193,29267,26528,15379,14934,
固定资产减值准备(万元),288,288,288,288,296,297,297,297,308,310,
固定资产(万元),140781,114711,97143,62605,51807,36897,28970,26231,15071,14624,
在建工程(万元),11309,27941,4843,12777,16938,21049,7908,3668,2373,563,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,
无形资产(万元),16516,11179,9104,7052,7259,5624,3088,3128,1769,1725,
开发支出(万元),--,--,45,--,--,--,--,--,--,--,
商誉(万元),69529,73798,292,292,292,292,292,292,--,--,
长期待摊费用(万元),825,867,920,865,56,48,--,1,2,4,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),2804,2441,1781,906,686,662,766,317,334,188,
其他非流动资产(万元),2198,3127,1676,1560,--,--,--,--,--,--,
非流动资产合计(万元),245904,236338,118520,87145,78014,65528,41902,34445,20272,18160,
资产总计(万元),455204,429990,301881,159972,154580,149801,158073,69145,57102,48415,
短期借款(万元),--,--,--,1240,1844,8837,15309,13757,7000,18000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,
应付账款(万元),25924,25984,31892,14848,14903,14477,8938,7798,2827,3465,
预收账款(万元),221,180,48,76,28,9,0,19,7,0,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),6392,6486,4377,628,492,876,704,392,402,25,
应交税费(万元),5238,3551,3218,1291,1277,-362,639,1058,241,-750,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),4971,3080,912,473,418,367,729,4193,3774,3257,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),193,179,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),42939,39459,40447,18557,18961,24203,26318,27217,14252,23997,
长期借款(万元),786,980,--,1000,--,--,10000,9987,15687,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),425,360,--,--,--,--,--,--,--,--,
长期递延收益(万元),1827,969,1404,1125,--,--,--,--,--,--,
递延所得税负债(万元),1814,2245,99,106,149,169,166,183,--,--,
其他非流动负债(万元),2,56,--,--,1040,983,1186,99,10,--,
非流动负债合计(万元),5230,4764,1503,2231,1190,1152,11352,10269,15697,0,
负债合计(万元),48168,44223,41950,20788,20151,25355,37671,37486,29949,23997,
实收资本(或股本)(万元),90913,36365,33987,27564,27564,13782,13782,10336,10336,10336,
资本公积(万元),206560,261108,162986,67646,67576,81358,81358,4373,4373,4373,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,
专项储备(万元),973,702,419,295,264,187,178,271,61,49,
盈余公积(万元),16168,12561,9353,6990,6051,4923,3876,2602,1604,970,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),93038,70845,52384,35080,31327,24196,21209,14076,10779,8691,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),406226,384962,259130,137575,132783,124446,120403,31659,27153,24418,
少数股东权益(万元),809,805,801,1610,1647,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),407035,385767,259931,139184,134429,124446,120403,31659,27153,24418,
负债和所有者权益(或股东权益)总计(万元),455204,429990,301881,159972,154580,149801,158073,69145,57102,48415,		
  
