报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),306297,198680,206636,102467,98892,137261,178886,89792,117743,127160,137012,22833,
结算备付金(万元),--,--,--,--,--,--,--,--,0,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,0,--,0,0,
交易性金融资产(万元),--,--,--,756,--,2790,2524,3961,5720,--,5933,6612,
衍生金融资产(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应收票据(万元),1130830,360830,122403,234765,330983,352711,257904,152386,76921,94622,107212,28907,
应收账款(万元),283279,171487,121388,134158,106255,94836,61068,60821,32332,27303,33600,29359,
预付款项(万元),48198,23923,37099,34785,47680,42258,124020,52037,65462,70305,54331,40153,
应收保费(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,0,502,0,0,
其他应收款(万元),24632,12606,14215,12846,8623,6929,5605,4236,2358,3531,3055,2987,
应收出口退税(万元), --,--,--,--,--,--,--,--,0,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,0,--,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,0,--,0,0,
存货(万元),699963,433735,419385,300999,226500,199486,133788,116833,75563,60044,65086,46377,
待摊费用(万元),--,--,--,--,--,--,--,--,0,--,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,0,--,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,0,--,0,0,
其他流动资产(万元),26822,122318,181531,154877,--,--,--,--,0,--,0,0,
流动资产合计(万元),2520021,1323580,1102659,975653,818933,836272,763795,480067,376099,383467,406228,177229,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
可供出售金融资产(万元),2000,2000,2000,2000,7626,8074,9815,17355,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,0,--,0,0,
长期应收款(万元),31879,27685,24786,19441,13280,4978,154,--,0,--,0,0,
长期股权投资(万元),52563,36330,18613,8874,11205,4517,2509,2000,19883,18534,3470,5470,
其他长期投资(万元),--,--,--,--,--,--,--,--,0,--,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,0,--,0,0,
固定资产原值(万元),3848295,3636228,2539819,1914364,1214680,1007281,907314,845579,430348,412530,377964,347483,
累计折旧(万元),1070014,785892,532718,392421,356505,274134,216822,152532,113200,85450,61137,37703,
固定资产净值(万元),2778281,2850337,2007101,1521943,858174,733147,690493,693047,317149,327079,316827,309780,
固定资产减值准备(万元),17248,3542,2472,2472,--,--,--,--,0,0,0,0,
固定资产(万元),2761033,2846794,2004629,1519471,858174,733147,690493,693047,317149,327079,316827,309780,
在建工程(万元),641993,424459,1240918,1172495,811117,363050,150948,42442,228464,37654,13795,11042,
工程物资(万元),88560,45418,28892,165154,155222,7495,9032,4718,6848,2034,1071,1194,
固定资产清理(万元),--,--,--,--,--,--,--,--,0,--,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,0,--,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,0,--,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,0,--,0,0,
无形资产(万元),252105,261156,225200,161164,143519,120073,80705,22935,13684,14384,13079,11469,
开发支出(万元),--,--,--,--,--,--,--,--,0,--,0,0,
商誉(万元),27752,27752,27752,27752,27752,27752,27752,27752,0,--,0,0,
长期待摊费用(万元),1547,1756,--,3336,1372,1525,1096,892,0,--,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,0,--,0,0,
递延所得税资产(万元),102534,44760,33754,28956,14925,10754,5570,3084,3992,3120,4966,7781,
其他非流动资产(万元),100785,34810,71239,74913,251241,136509,--,--,0,--,0,0,
非流动资产合计(万元),4062752,3752922,3677783,3183556,2295435,1417874,978074,814226,590019,402805,353209,346736,
资产总计(万元),6582773,5076502,4780442,4159209,3114368,2254146,1741868,1294292,966118,786272,759437,523964,
短期借款(万元),1271457,850147,963786,449644,375212,376473,325871,227657,212684,83909,110834,58223,
向中央银行借款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,0,--,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,0,--,0,0,
交易性金融负债(万元),--,--,--,409,--,--,--,--,0,0,0,0,
衍生金融负债(万元),--,751,--,--,--,--,--,--,0,--,0,0,
应付票据(万元),185164,186082,222125,204452,199363,145415,34148,42213,13650,768,4297,3728,
应付账款(万元),438821,346715,340046,261513,229894,88127,49419,57696,48295,17937,25262,36414,
预收账款(万元),267965,149670,71122,76375,72790,46438,41082,17585,13955,6660,13919,5218,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应付职工薪酬(万元),73032,36294,20597,22541,25615,14698,5639,4645,5798,5208,9854,8678,
应交税费(万元),224519,55639,23277,27054,-27525,16411,988,-11796,-7051,1985,33387,16009,
应付利息(万元),3197,9171,7525,7699,6453,6278,4662,1312,239,409,928,79,
应付股利(万元),--,--,--,--,--,--,21530,--,0,--,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,0,--,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
其他应付款(万元),50803,51158,27570,22513,18358,11041,4787,3430,3607,2257,3353,2025,
预提费用(万元),--,--,--,--,--,--,--,--,0,--,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,0,--,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,0,--,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,0,--,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,0,--,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,0,--,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,0,--,0,0,
一年内到期的非流动负债(万元),267051,404513,251280,251199,128396,102524,102572,29471,12535,43187,40324,17275,
其他流动负债(万元),--,170000,--,--,15580,15300,85000,--,16373,36147,13101,464,
流动负债合计(万元),2782009,2260141,1927327,1323399,1044137,822705,675698,372213,320085,198465,255259,148112,
长期借款(万元),632165,933334,1144024,1283752,789084,344246,241422,202294,62066,41249,29949,80167,
应付债券(万元),--,--,198000,200000,100000,100000,--,--,0,--,0,0,
长期应付款(万元),135,271,406,541,676,812,947,1082,1217,1353,28333,5375,
专项应付款(万元),--,--,--,--,37,--,35,--,0,--,0,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,0,--,0,0,
长期递延收益(万元),91561,47543,26291,20617,--,--,--,--,0,--,--,--,
递延所得税负债(万元),1490,1819,2071,1951,1921,1664,1746,2861,237,264,290,182,
其他非流动负债(万元),--,--,--,381,418,439,459,320,0,--,1759,0,
非流动负债合计(万元),725351,982967,1370791,1507242,892136,447160,244608,206557,63521,42865,60331,85725,
负债合计(万元),3507361,3243108,3298118,2830641,1936272,1269865,920306,578770,383606,241331,315589,233837,
实收资本(或股本)(万元),273401,216233,216233,216233,216233,216233,216233,166333,166333,166333,166333,118810,
资本公积(万元),239283,4841,4834,4834,3005,3359,4839,10873,4784,4784,3879,3137,
减:库存股(万元),--,--,--,--,--,--,--,--,0,--,0,0,
专项储备(万元),--,--,--,70,--,--,--,--,0,--,--,--,
盈余公积(万元),282317,157931,157931,157931,157931,157931,147799,115025,96371,81842,62163,48650,
一般风险准备(万元),--,--,--,--,--,--,--,--,0,--,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,0,--,0,0,
未分配利润(万元),1932001,1102392,777697,681592,591019,453241,358225,322043,237576,228634,159963,84746,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,0,--,0,0,
外币报表折算差额(万元),--,--,--,--,-397,-326,-349,374,59,153,64,3,
归属于母公司股东权益合计(万元),2727954,1482159,1157097,1059408,967792,830439,726748,614648,505124,481746,392402,255345,
少数股东权益(万元),347459,351235,325226,269159,210303,153842,94814,100874,77388,63196,51446,34782,
所有者权益(或股东权益)合计(万元),3075413,1833394,1482323,1328568,1178096,984281,821562,715522,582512,544941,443848,290128,
负债和所有者权益(或股东权益)总计(万元),6582773,5076502,4780442,4159209,3114368,2254146,1741868,1294292,966118,786272,759437,523964,		
  
